,device_name,network_count,duration,has_monitors,is_merged,multithreading_type,is_recompile,last_run_time,compilation_time,binary_run_time,neurongroup_stateupdater,neurongroup_thresholder,neurongroup_resetter,synapses_pre,synapses_pre_push_spikes,spikemonitor,statemonitor,sum_ratemonitors,total_run_time,duplicating_time,result_extraction_time
24,cpp_standalone,1,1.0,False,False,openmp,0.6666666666666666,0.8931562222222222,0.42215850618150497,1.5732828776041667,0.3531946666666667,0.0663249111111111,0.08246192222222222,0.28578233333333336,0.09325242222222223,0.0,0.0,0.0,3.9900574154324002,0.0,1.3245476616688888e-05
23,cpp_standalone,2,1.0,False,False,openmp,0.6666666666666666,1.7863124444444445,0.42215850618150497,3.1465657552083335,0.7063893333333334,0.1326498222222222,0.16492384444444444,0.5715646666666667,0.18650484444444446,0.0,0.0,0.0,7.9801148308648004,0.0,1.3245476616688888e-05
22,cpp_standalone,4,1.0,False,False,openmp,0.6666666666666666,3.572624888888889,0.42215850618150497,6.293131510416667,1.4127786666666668,0.2652996444444444,0.3298476888888889,1.1431293333333334,0.3730096888888889,0.0,0.0,0.0,15.960229661729601,0.0,1.3245476616688888e-05
18,cpp_standalone,8,1.0,False,False,openmp,0.6666666666666666,7.145249777777778,0.42215850618150497,12.586263020833334,2.8255573333333337,0.5305992888888889,0.6596953777777778,2.286258666666667,0.7460193777777778,0.0,0.0,0.0,31.920459323459202,0.0,1.3245476616688888e-05
20,cpp_standalone,16,1.0,False,False,openmp,0.6666666666666666,14.290499555555556,0.42215850618150497,25.172526041666668,5.651114666666667,1.0611985777777777,1.3193907555555555,4.572517333333334,1.4920387555555557,0.0,0.0,0.0,63.840918646918404,0.0,1.3245476616688888e-05
19,cpp_standalone,32,1.0,False,False,openmp,0.6666666666666666,28.58099911111111,0.42215850618150497,50.345052083333336,11.302229333333335,2.1223971555555554,2.638781511111111,9.145034666666668,2.9840775111111113,0.0,0.0,0.0,127.68183729383681,0.0,1.3245476616688888e-05
25,cpp_standalone,64,1.0,False,False,openmp,0.6666666666666666,57.16199822222222,0.42215850618150497,100.69010416666667,22.60445866666667,4.244794311111111,5.277563022222222,18.290069333333335,5.968155022222223,0.0,0.0,0.0,255.36367458767361,0.0,1.3245476616688888e-05
21,cpp_standalone,128,1.0,False,False,openmp,0.6666666666666666,114.32399644444445,0.42215850618150497,201.38020833333334,45.20891733333334,8.489588622222222,10.555126044444444,36.58013866666667,11.936310044444445,0.0,0.0,0.0,510.72734917534723,0.0,1.3245476616688888e-05
26,cpp_standalone,256,1.0,False,False,openmp,0.6666666666666666,228.6479928888889,0.42215850618150497,402.7604166666667,90.41783466666668,16.979177244444443,21.11025208888889,73.16027733333334,23.87262008888889,0.0,0.0,0.0,1021.4546983506945,0.0,1.3245476616688888e-05
