device_name,network_count,duration,has_PRMs,is_merged,multithreading_type,uses_conditional_connect,last_run_time,compilation_time,binary_run_time,total_run_time
cpp_standalone,1,0.1,True,False,none,N/A,0.3,0.008344411849975586,0.8220455646514893,2.7102315425872803
cpp_standalone,2,0.1,True,False,none,N/A,0.6,3.1967689990997314,1.5618953704833984,6.601768732070923
cpp_standalone,4,0.1,True,False,none,N/A,1.2,0.008344411849975586,0.8220455646514893,2.7102315425872803
cpp_standalone,8,0.1,True,False,none,N/A,2.4,3.1967689990997314,1.5618953704833984,6.601768732070923
cpp_standalone,16,0.1,True,False,none,N/A,4.8,0.008344411849975586,0.8220455646514893,2.7102315425872803
cpp_standalone,32,0.1,True,False,none,N/A,9.6,3.1967689990997314,1.5618953704833984,6.601768732070923
cpp_standalone,64,0.1,True,False,none,N/A,19.2,0.008344411849975586,0.8220455646514893,2.7102315425872803
cpp_standalone,128,0.1,True,False,none,N/A,38.4,3.1967689990997314,1.5618953704833984,6.601768732070923
cpp_standalone,256,0.1,True,False,none,N/A,76.8,0.008344411849975586,0.8220455646514893,2.7102315425872803
cpp_standalone,1,0.1,True,False,openmp,N/A,0.09,0.008513689041137695,0.6295726299285889,2.3949735164642334
cpp_standalone,2,0.1,True,False,openmp,N/A,0.18,3.366758108139038,1.2789781093597412,6.474384307861328
cpp_standalone,4,0.1,True,False,openmp,N/A,0.36,0.008344411849975586,0.8220455646514893,2.7102315425872803
cpp_standalone,8,0.1,True,False,openmp,N/A,0.72,3.1967689990997314,1.5618953704833984,6.601768732070923
cpp_standalone,16,0.1,True,False,openmp,N/A,1.44,0.008344411849975586,0.8220455646514893,2.7102315425872803
cpp_standalone,32,0.1,True,False,openmp,N/A,2.88,3.1967689990997314,1.5618953704833984,6.601768732070923
cpp_standalone,64,0.1,True,False,openmp,N/A,5.76,0.008344411849975586,0.8220455646514893,2.7102315425872803
cpp_standalone,128,0.1,True,False,openmp,N/A,11.52,3.1967689990997314,1.5618953704833984,6.601768732070923
cpp_standalone,256,0.1,True,False,openmp,N/A,23.04,0.008344411849975586,0.8220455646514893,2.7102315425872803
cpp_standalone,1,0.1,True,True,none,False,0.296884,1.0718348026275635,0.7471251487731934,3.1939492225646973
cpp_standalone,2,0.1,True,True,none,False,0.591299,0.007943868637084961,1.5497431755065918,2.9662394523620605
cpp_standalone,4,0.1,True,True,none,False,1.18604,0.008017539978027344,3.414214849472046,4.6614463329315186
cpp_standalone,8,0.1,True,True,none,False,2.37288,1.6637141704559326,6.793848991394043,9.692577838897705
cpp_standalone,16,0.1,True,True,none,False,4.80161,1.719552755355835,12.50375747680664,15.518569946289062
cpp_standalone,32,0.1,True,True,none,False,9.62,1.182737112045288,25.10556650161743,27.64197278022766
cpp_standalone,64,0.1,True,True,none,False,19.1971,1.4991600513458252,50.7416672706604,53.742008447647095
cpp_standalone,128,0.1,True,True,none,False,38.4615,2.291670560836792,102.52955985069275,106.46335816383362
cpp_standalone,256,0.1,True,True,none,False,78.4442,3.9153130054473877,214.0869767665863,222.7001132965088
cpp_standalone,1,0.1,True,True,openmp,False,0.0943743,1.1312553882598877,0.5865898132324219,3.0118205547332764
cpp_standalone,2,0.1,True,True,openmp,False,0.141673,1.161362648010254,1.08027982711792,3.708723783493042
cpp_standalone,4,0.1,True,True,openmp,False,0.234079,1.242013692855835,2.195643424987793,4.7132887840271
cpp_standalone,8,0.1,True,True,openmp,False,0.373671,1.2797887325286865,4.161733865737915,6.749837160110474
cpp_standalone,16,0.1,True,True,openmp,False,0.702914,1.3778040409088135,8.505981683731079,11.162174463272095
cpp_standalone,32,0.1,True,True,openmp,False,1.26995,1.6098957061767578,17.26275873184204,20.213496685028076
cpp_standalone,64,0.1,True,True,openmp,False,2.69119,2.336164951324463,33.9237904548645,37.63811945915222
cpp_standalone,128,0.1,True,True,openmp,False,5.43579,3.8878333568573,68.64138865470886,74.23892831802368
cpp_standalone,256,0.1,True,True,openmp,False,12.597,7.669224739074707,167.33469986915588,177.3533821105957
cpp_standalone,1,0.1,True,True,openmp40,False,0.11951,1.130262851715088,0.7111215591430664,3.289095640182495
cpp_standalone,2,0.1,True,True,openmp40,False,0.144209,1.1791670322418213,1.0898969173431396,3.5607845783233643
cpp_standalone,4,0.1,True,True,openmp40,False,0.21489,1.2612030506134033,2.3000805377960205,4.8302483558654785
cpp_standalone,8,0.1,True,True,openmp40,False,0.341874,1.2858080863952637,4.938243627548218,7.526734828948975
cpp_standalone,16,0.1,True,True,openmp40,False,0.618153,1.3876569271087646,8.53251051902771,11.19084095954895
cpp_standalone,32,0.1,True,True,openmp40,False,1.50074,1.6057865619659424,18.153206825256348,21.11404824256897
cpp_standalone,64,0.1,True,True,openmp40,False,2.85528,2.3244144916534424,35.96570563316345,39.671698331832886
cpp_standalone,128,0.1,True,True,openmp40,False,5.51499,3.865039348602295,71.2586042881012,76.84375333786011
cpp_standalone,256,0.1,True,True,openmp40,False,10.9909,7.686636209487915,150.97841453552246,162.73305702209473
cuda_standalone,1,0.1,True,False,GPU,False,0.074611,9.475842237472534,5.911882400512695,20.60832691192627
cuda_standalone,2,0.1,True,False,GPU,False,0.1492,9.475842237472534,5.911882400512695,20.60832691192627
cuda_standalone,4,0.1,True,False,GPU,False,0.2984,9.475842237472534,5.911882400512695,20.60832691192627
cuda_standalone,8,0.1,True,False,GPU,False,0.5968,9.475842237472534,5.911882400512695,20.60832691192627
cuda_standalone,16,0.1,True,False,GPU,False,1.1936,9.475842237472534,5.911882400512695,20.60832691192627
