,device_name,network_count,duration,has_monitors,is_merged,multithreading_type,is_recompile,last_run_time,compilation_time,binary_run_time,neurongroup_stateupdater,neurongroup_thresholder,neurongroup_resetter,synapses_pre,synapses_pre_push_spikes,spikemonitor,statemonitor,sum_ratemonitors,total_run_time,duplicating_time,result_extraction_time
0,cpp_standalone,1,1.0,False,False,none,0.6666666666666666,3.63333,0.39569769965277773,4.152361604902479,3.446438888888889,0.061276,0.006310888888888889,0.029107222222222222,0.019006444444444444,0.0,0.0,0.0,6.563186751471625,0.0,8.847978379933332e-06
7,cpp_standalone,2,1.0,False,False,none,0.6666666666666666,7.26666,0.39569769965277773,8.304723209804958,6.892877777777778,0.122552,0.012621777777777779,0.058214444444444444,0.03801288888888889,0.0,0.0,0.0,13.12637350294325,0.0,8.847978379933332e-06
6,cpp_standalone,4,1.0,False,False,none,0.6666666666666666,14.53332,0.39569769965277773,16.609446419609917,13.785755555555555,0.245104,0.025243555555555557,0.11642888888888889,0.07602577777777778,0.0,0.0,0.0,26.2527470058865,0.0,8.847978379933332e-06
5,cpp_standalone,8,1.0,False,False,none,0.6666666666666666,29.06664,0.39569769965277773,33.21889283921983,27.57151111111111,0.490208,0.050487111111111115,0.23285777777777777,0.15205155555555555,0.0,0.0,0.0,52.505494011773,0.0,8.847978379933332e-06
4,cpp_standalone,16,1.0,False,False,none,0.6666666666666666,58.13328,0.39569769965277773,66.43778567843967,55.14302222222222,0.980416,0.10097422222222223,0.46571555555555555,0.3041031111111111,0.0,0.0,0.0,105.010988023546,0.0,8.847978379933332e-06
3,cpp_standalone,32,1.0,False,False,none,0.6666666666666666,116.26656,0.39569769965277773,132.87557135687933,110.28604444444444,1.960832,0.20194844444444446,0.9314311111111111,0.6082062222222222,0.0,0.0,0.0,210.021976047092,0.0,8.847978379933332e-06
2,cpp_standalone,64,1.0,False,False,none,0.6666666666666666,232.53312,0.39569769965277773,265.75114271375867,220.57208888888889,3.921664,0.4038968888888889,1.8628622222222222,1.2164124444444444,0.0,0.0,0.0,420.043952094184,0.0,8.847978379933332e-06
1,cpp_standalone,128,1.0,False,False,none,0.6666666666666666,465.06624,0.39569769965277773,531.5022854275173,441.14417777777777,7.843328,0.8077937777777778,3.7257244444444444,2.432824888888889,0.0,0.0,0.0,840.087904188368,0.0,8.847978379933332e-06
8,cpp_standalone,256,1.0,False,False,none,0.6666666666666666,930.13248,0.39569769965277773,1063.0045708550347,882.2883555555555,15.686656,1.6155875555555557,7.451448888888889,4.865649777777778,0.0,0.0,0.0,1680.175808376736,0.0,8.847978379933332e-06
