,device_name,network_count,duration,is_merged,multithreading_type,has_monitors,is_recompile,last_run_time,compilation_time,binary_run_time,total_run_time,duplicating_time,result_extraction_time
0,cpp_standalone,1,1.0,False,none,False,False,3.52508,0.010826826095581,3.953145980834961,5.847734928131104,0.0,5.4836273193e-06
1,cpp_standalone,1,1.0,False,openmp,False,False,0.867973,0.009676456451416,1.5573878288269043,3.460440158843994,0.0,3.5762786865e-06
2,cpp_standalone,1,1.0,True,none,False,False,3.52977,1.1027414798736572,3.964600801467896,6.9050703048706055,0.3516554832458496,1.9073486328e-06
3,cpp_standalone,1,1.0,True,openmp,False,False,0.864731,0.0115156173706054,1.5388648509979248,3.950709581375122,0.3450794219970703,9.536743164e-07
4,cpp_standalone,2,1.0,True,none,False,False,7.0201,1.1028156280517578,7.977378606796265,10.897947788238524,0.3536667823791504,2.1457672119e-06
5,cpp_standalone,2,1.0,True,openmp,False,False,1.28586,1.1568934917449951,2.5664331912994385,5.53184962272644,0.3488302230834961,1.4305114746e-06
6,cpp_standalone,4,1.0,True,none,False,False,14.0318,1.107508659362793,15.951259136199951,18.876718759536743,0.3509500026702881,1.9073486328e-06
7,cpp_standalone,4,1.0,True,openmp,False,False,2.00496,1.1613457202911377,4.405467033386231,7.361459493637085,0.3494560718536377,1.6689300537e-06
8,cpp_standalone,8,1.0,True,none,False,False,28.0618,1.0977275371551514,31.98900437355041,34.968449115753174,0.3517775535583496,1.6689300537e-06
9,cpp_standalone,8,1.0,True,openmp,False,False,3.32744,1.1663777828216553,8.871973514556885,11.920418739318848,0.3470466136932373,1.6689300537e-06
10,cpp_standalone,16,1.0,True,none,False,False,56.4221,1.0917439460754397,64.281902551651,67.19458055496216,0.356398344039917,1.9073486328e-06
11,cpp_standalone,16,1.0,True,openmp,False,False,6.34726,1.1608390808105469,15.8508780002594,18.88831734657288,0.3578207492828369,1.6689300537e-06
12,cpp_standalone,32,1.0,True,none,False,False,113.154,1.1041054725646973,129.1562943458557,132.36962056159973,0.3444864749908447,1.6689300537e-06
13,cpp_standalone,32,1.0,True,openmp,False,False,14.0585,1.1779310703277588,33.102585554122925,36.38810992240906,0.3552148342132568,1.6689300537e-06
14,cpp_standalone,64,1.0,True,none,False,False,227.301,1.0922727584838867,260.5036025047302,263.71254563331604,0.3580541610717773,9.536743164e-07
15,cpp_standalone,64,1.0,True,openmp,False,False,30.5372,1.159878492355347,69.47100138664246,72.7590229511261,0.3582489490509033,1.1920928955e-06
16,cpp_standalone,128,1.0,True,none,False,False,457.958,1.1105034351348877,527.2386455535889,530.4148409366608,0.3544492721557617,9.536743164e-07
17,cpp_standalone,128,1.0,True,openmp,False,False,60.7058,1.1598060131072998,140.19876980781555,143.82263612747192,0.3639111518859863,1.1920928955e-06
18,cuda_standalone,1,1.0,False,GPU,False,False,0.314259,0.0146999359130859,5.756610870361328,9.003725051879883,0.0,6.9141387939e-06
19,cuda_standalone,1,1.0,True,GPU,False,False,0.322652,8.563702821731567,5.746796369552612,17.46560573577881,0.4057867527008056,1.6689300537e-06
20,cuda_standalone,2,1.0,True,GPU,False,False,0.347253,8.571412563323975,12.32149577140808,24.089919567108154,0.4021806716918945,1.6689300537e-06
21,cuda_standalone,4,1.0,True,GPU,False,False,0.393643,8.596614122390747,25.755783796310425,37.65717077255249,0.3962252140045166,1.4305114746e-06
22,cuda_standalone,8,1.0,True,GPU,False,False,0.509572,8.579941272735596,58.45985007286072,70.48505067825317,0.4027767181396484,1.6689300537e-06
23,cuda_standalone,16,1.0,True,GPU,False,False,0.771981,8.724711656570435,134.65942478179932,147.05191087722778,0.4047656059265136,1.4305114746e-06
24,cuda_standalone,32,1.0,True,GPU,False,False,1.26723,8.690578937530518,304.39927673339844,316.6836338043213,0.4143829345703125,1.9073486328e-06
25,cuda_standalone,64,1.0,True,GPU,False,False,2.26945,8.642876625061035,695.5497009754181,707.9246618747711,0.4137153625488281,7.152557373e-07
26,cuda_standalone,128,1.0,True,GPU,False,False,4.35306,8.735998630523682,1451.474106311798,1463.8764941692352,0.4389665126800537,2.384185791e-06
