,device_name,network_count,duration,is_recompile,has_monitors,is_merged,multithreading_type,last_run_time,compilation_time,binary_run_time,neurongroup_stateupdater,neurongroup_thresholder,neurongroup_resetter,synapses_pre,synapses_pre_push_spikes,spikemonitor,statemonitor,sum_ratemonitors,total_run_time,duplicating_time,result_extraction_time
24,cuda_standalone,127,1.0,True,True,False,GPU,115.54021849999998,2.1001465460936486,840.0844139059384,0.15177591666666668,0.09232699999999999,0.06870749999999999,0.14471833333333334,0.013185750000000001,0.16738916666666667,0.07119266666666667,0.07621683333333333,1277.4817406137786,0.0,0.004023969173431342
5,cpp_standalone,127,1.0,True,True,False,openmp,116.4052155,1.5767973264058408,208.4929616053899,0.34351983333333336,0.08878520000000001,0.0666152,0.25807833333333335,0.0788743,0.00155473,0.06313538333333334,0.00163751,468.6717369953791,0.0,0.003939708073933867
4,cpp_standalone,127,1.0,True,True,False,none,463.2720816666666,1.5884548028310053,532.1419624884923,3.4158899999999996,0.05196483333333333,0.006065,0.02883833333333333,0.01887583333333333,0.0066705,0.0072745,0.006346833333333333,789.5477926333745,0.0,0.004046201705932566
