device_name,network_count,duration,has_monitors,is_merged,multithreading_type,is_recompile,last_run_time,compilation_time,binary_run_time,neurongroup_stateupdater,neurongroup_thresholder,neurongroup_resetter,synapses_pre,synapses_pre_push_spikes,spikemonitor,statemonitor,sum_ratemonitors,total_run_time
cpp_standalone,2,1.0,False,True,openmp,False,1.35947,1.3603341579437256,2.3839712142944336,0.571288,0.145201,0.0818625,0.433299,0.113991,0.0,0.0,0.0,5.2239298820495605
cpp_standalone,2,1.0,False,True,openmp,False,1.22874,1.3644311428070068,2.2515180110931396,0.526985,0.14329,0.0819041,0.361411,0.0983779,0.0,0.0,0.0,5.052149295806885
cpp_standalone,2,1.0,False,True,openmp,False,1.34848,1.481809139251709,2.36403226852417,0.611969,0.154813,0.0848624,0.375419,0.107928,0.0,0.0,0.0,5.298057556152344
cpp_standalone,4,1.0,False,True,openmp,False,2.33757,1.4014480113983154,4.583186388015747,1.2062,0.290272,0.0901984,0.618106,0.117798,0.0,0.0,0.0,7.410826683044434
cpp_standalone,4,1.0,False,True,openmp,False,2.35137,1.3926398754119873,4.550762891769409,1.20044,0.315877,0.0859122,0.612843,0.120714,0.0,0.0,0.0,7.408218622207642
cpp_standalone,4,1.0,False,True,openmp,False,1.96847,1.3950870037078857,4.135154962539673,1.01727,0.288953,0.0867092,0.46661,0.095195,0.0,0.0,0.0,6.995758295059204
cpp_standalone,8,1.0,False,True,openmp,False,3.5297,1.440767765045166,8.212231874465942,1.91942,0.544547,0.0892665,0.867976,0.0955261,0.0,0.0,0.0,11.246435403823853
cpp_standalone,8,1.0,False,True,openmp,False,3.8884,1.5000321865081787,8.523984432220459,2.11938,0.548319,0.0844741,1.02175,0.101185,0.0,0.0,0.0,11.581931352615356
cpp_standalone,8,1.0,False,True,openmp,False,3.59488,1.468686819076538,8.290761232376099,2.0293,0.521376,0.0812816,0.854776,0.0956461,0.0,0.0,0.0,11.215126276016235
cpp_standalone,16,1.0,False,True,openmp,False,6.59234,1.562999963760376,15.074620246887207,3.45706,1.00707,0.110677,1.80103,0.204637,0.0,0.0,0.0,18.160624742507935
cpp_standalone,16,1.0,False,True,openmp,False,6.49577,1.6292717456817627,15.056763887405396,3.40956,1.05456,0.0916975,1.78713,0.139555,0.0,0.0,0.0,18.215394258499146
cpp_standalone,16,1.0,False,True,openmp,False,7.27058,1.6260638236999512,15.765896081924438,3.73984,1.02082,0.0973802,2.00227,0.39768,0.0,0.0,0.0,19.05624747276306
cpp_standalone,32,1.0,False,True,openmp,False,13.3874,1.855039119720459,31.07355308532715,6.80279,1.97808,0.108356,4.12009,0.366033,0.0,0.0,0.0,34.45791459083557
cpp_standalone,32,1.0,False,True,openmp,False,15.7499,1.8603477478027344,33.43577790260315,7.14474,2.14412,0.157043,5.49918,0.791814,0.0,0.0,0.0,36.83136487007141
cpp_standalone,32,1.0,False,True,openmp,False,13.2711,1.8463084697723389,31.03923010826111,6.87045,1.93255,0.114983,3.9719,0.369207,0.0,0.0,0.0,34.65272116661072
cpp_standalone,64,1.0,False,True,openmp,False,28.9618,2.668818950653076,65.20613837242126,14.9713,3.83529,0.240259,9.18489,0.716286,0.0,0.0,0.0,69.39859747886658
cpp_standalone,64,1.0,False,True,openmp,False,26.0461,2.6772265434265137,62.29717445373535,13.6178,3.74882,0.162866,8.05451,0.449607,0.0,0.0,0.0,66.90290236473083
cpp_standalone,64,1.0,False,True,openmp,False,27.9893,2.6902832984924316,64.67788243293762,14.2579,3.83762,0.221359,9.03034,0.629125,0.0,0.0,0.0,69.15565705299377
cpp_standalone,128,1.0,False,True,openmp,False,62.0665,4.4553468227386475,134.30594062805176,28.9499,7.9967,0.327866,22.4588,2.31506,0.0,0.0,0.0,140.87021207809448
cpp_standalone,128,1.0,False,True,openmp,False,54.0948,4.547283411026001,126.34930300712585,27.9879,7.3968,0.272198,17.1426,1.28193,0.0,0.0,0.0,133.01953506469727
cpp_standalone,128,1.0,False,True,openmp,False,56.9542,4.434910297393799,130.08743381500244,28.3641,7.69004,0.278934,18.9242,1.68095,0.0,0.0,0.0,136.7745041847229
cpp_standalone,256,1.0,False,True,openmp,False,133.064,9.060465335845947,283.5066440105438,62.4068,16.4269,0.325574,49.3891,4.49489,0.0,0.0,0.0,295.63351702690125
cpp_standalone,256,1.0,False,True,openmp,False,136.586,8.913758516311646,287.2331223487854,63.8206,16.6688,0.417929,51.2776,4.38093,0.0,0.0,0.0,299.24408507347107
cpp_standalone,256,1.0,False,True,openmp,False,129.951,8.95451545715332,281.50784039497375,62.9696,16.1399,0.355963,47.141,3.32486,0.0,0.0,0.0,293.3282506465912
cpp_standalone,1,1.0,False,True,none,False,3.54074,1.2683258056640625,3.989790201187134,3.36446,0.052497,0.006042,0.03384,0.016278,0.0,0.0,0.0,7.030709505081177
cpp_standalone,1,1.0,False,True,none,False,3.53996,1.2640917301177979,3.9882402420043945,3.36467,0.051915,0.006077,0.033401,0.016209,0.0,0.0,0.0,6.662179708480835
cpp_standalone,1,1.0,False,True,none,False,3.55479,1.258721113204956,4.00047492980957,3.37875,0.05193,0.006066,0.033835,0.016693,0.0,0.0,0.0,6.706868410110474
cpp_standalone,2,1.0,False,True,none,False,7.07521,1.2739989757537842,8.072115898132324,6.7913,0.09915,0.006213,0.077966,0.031511,0.0,0.0,0.0,10.831466436386108
cpp_standalone,2,1.0,False,True,none,False,7.02083,1.2765979766845703,8.013192176818848,6.74053,0.097975,0.006098,0.076567,0.030617,0.0,0.0,0.0,10.725782632827759
cpp_standalone,2,1.0,False,True,none,False,7.03454,1.3313755989074707,8.016380548477173,6.75183,0.097021,0.006012,0.079894,0.030451,0.0,0.0,0.0,10.759291887283325
cpp_standalone,4,1.0,False,True,none,False,13.9919,1.27545166015625,16.061428546905518,13.4901,0.190275,0.006192,0.176486,0.058055,0.0,0.0,0.0,18.89674210548401
cpp_standalone,4,1.0,False,True,none,False,13.9924,1.2786798477172852,16.058495044708252,13.4913,0.190272,0.006256,0.17587,0.057993,0.0,0.0,0.0,18.95991611480713
cpp_standalone,4,1.0,False,True,none,False,13.996,1.3306951522827148,16.07381010055542,13.4903,0.191644,0.006296,0.174531,0.061816,0.0,0.0,0.0,18.875885248184204
cpp_standalone,8,1.0,False,True,none,False,28.0392,1.2737305164337158,32.21080660820007,27.0326,0.377145,0.006448,0.434677,0.114607,0.0,0.0,0.0,34.96863126754761
